1 38.22 35.49 76.44 122.85 40 DarkBrown Education Other No Slim Yes Sagittarius No Single  
270 27.3 30.03 95.55 117.39 24 Blonde Artist Green No Average Yes Libra Yes Single France 
271 125.58 54.6 57.33 35.49 23 Other Fashion DarkBrown No Average No Sagittarius No Single France 
272 38.22 35.49 101.01 98.28 21 Black Student Other No Average No Capricorn No Single Japan 
273 111.93 73.71 40.95 43.68 35 Blonde Entrepreneur Blue No Cuddly Yes Scorpio No Divorced Chile 
274 32.76 40.95 95.55 103.74 31 DarkBrown Law Blue No Toned Yes Virgo Yes Single SouthAfrica 
275 223.86 19.11 13.65 19.11 45 Black Restaurant DarkBrown No Ample No Capricorn No Married Norway 
276 136.5 65.52 43.68 24.57 27 Black Hospitality Brown No Average No Aries No Single Chile 
277 111.93 92.82 21.84 46.41 30 Brown Fashion Green No Ample No Scorpio No InArelationship Japan 
278 19.11 16.38 111.93 128.31 20 Blonde Fashion Blue No Slim Yes Scorpio Yes Single CzechRepublic 
279 174.72 43.68 19.11 35.49 28 Blonde Administration LightBrown No Average Yes Cancer No Single Poland 
280 32.76 32.76 92.82 111.93 27 DarkBlonde Fashion DarkBrown No Slim Yes Aquarius No Single Israel 
281 32.76 27.3 133.77 76.44 38 Black Government Hazel No Slim No Gemini Yes Divorced Mexico 
282 81.9 73.71 35.49 81.9 43 DarkBrown Administration Green No Slim Yes Sagittarius Yes Divorced China 
283 150.15 49.14 19.11 54.6 24 Black Engineering DarkBrown No Average No Aries No Single Spain 
284 5.46 5.46 32.76 232.05 22 Black Design DarkBrown No Athletic No Libra No Single India 
285 13.65 13.65 81.9 161.07 20 Brown Design Green Yes Slim No Scorpio Yes Married Brazil 
286 111.93 70.98 60.06 30.03 36 DarkBrown Education DarkBrown Sometimes Toned Yes Sagittarius No Single Poland 
287 125.58 32.76 51.87 62.79 39 Red Law Green No Slim Yes Pisces No It'sComplicated Israel 
288 10.92 13.65 57.33 191.1 18 Blonde PerformingArts Blue No Slim No Aries No Single CzechRepublic 
289 10.92 8.19 40.95 212.94 28 Black Entrepreneur Green No Athletic Yes Virgo No Single Australia 
290 68.25 70.98 43.68 90.09 36 Brown Management DarkBrown No Athletic Yes Gemini No It'sComplicated Australia 
291 27.3 16.38 70.98 158.34 22 Black Engineering DarkBrown No Average No Pisces No Single Australia 
292 111.93 84.63 30.03 46.41 31 DarkBrown Medicine Brown No Athletic No Leo No Single India 
293 19.11 10.92 62.79 180.18 37 Auburn Administration Blue No Average No Capricorn No Single Colombia 
294 0.0 2.73 16.38 253.89 18 Blonde Fashion LightBrown No Average Yes Pisces Yes Single Switzerland 
295 109.2 81.9 32.76 49.14 21 Brown Administration Hazel No Average Yes Libra No Single Brazil 
296 133.77 38.22 65.52 35.49 26 DarkBlonde Administration Brown Sometimes Average No Leo No Single Brazil 
297 24.57 5.46 43.68 202.02 24 DarkBlonde Management Green No Average No Cancer Yes Single Brazil 
298 51.87 24.57 114.66 81.9 21 Black Education Brown No Slim No Sagittarius No It'sComplicated Brazil 
299 68.25 62.79 60.06 81.9 29 DarkBrown Marketing DarkBrown No Slim No Gemini No Single Brazil 
300 38.22 21.84 62.79 152.88 24 Other Fashion Blue No Average Yes Libra No Single Japan 
301 70.98 27.3 79.17 95.55 45 Blonde LawEnforcement Hazel No Athletic No Gemini No Single Australia 
302 174.72 32.76 30.03 32.76 24 Brown Student Brown No Average No Leo No Single Bulgaria 
303 111.93 35.49 70.98 57.33 27 DarkBrown LawEnforcement DarkBlue No Athletic No Aquarius No Single Senegal 
304 49.14 38.22 54.6 128.31 25 Black Fashion Brown No Average No Capricorn No Single Senegal 
305 90.09 60.06 57.33 65.52 23 Brown Teacher Blue No Athletic Yes Aquarius No Single Taiwan 
306 57.33 51.87 40.95 122.85 21 Brown Student Brown Sometimes Slim No Libra Yes Single Ireland 
307 13.65 10.92 76.44 171.99 36 EverChanging Nonprofit Other Sometimes Average No Taurus No InArelationship France 
308 27.3 13.65 62.79 169.26 24 Blonde Engineering DarkBlue Sometimes Average Yes Capricorn No Single France 
309 19.11 40.95 79.17 133.77 38 Blonde Education Green No Toned No Pisces No Divorced Israel 
310 13.65 5.46 54.6 199.29 18 DarkBrown Law DarkBrown No Average No Cancer No Single Bahrain 
311 171.99 43.68 27.3 30.03 35 Black Entrepreneur Brown No Slim No Aquarius Yes Single CzechRepublic 
312 5.46 2.73 24.57 240.24 19 Brown Fashion Green No Slim No Virgo No Single France 
313 136.5 68.25 27.3 43.68 39 Brown Administration Green No Slim Yes Pisces Yes It'sComplicated Portugal 
314 13.65 13.65 109.2 136.5 22 DarkBrown Medicine DarkBrown No Slim No Scorpio No It'sComplicated Slovenia 
315 16.38 16.38 84.63 155.61 22 * * * * * No Cancer No * Brazil 
316 54.6 13.65 49.14 155.61 19 Red Artist Green No Average No Cancer Yes Single Brazil 
317 87.36 35.49 54.6 95.55 34 Brown Education Hazel No Slim Yes Leo Yes Single Brazil 
318 24.57 2.73 144.69 103.74 32 DarkBlonde Administration Brown Yes Cuddly No Cancer No Single Spain 
319 10.92 2.73 54.6 202.02 18 Auburn Student Brown No Average No Aquarius No Single Mexico 
320 8.19 10.92 87.36 163.8 20 Brown Student Green No Average Yes Leo No InArelationship Mexico 
321 57.33 40.95 68.25 106.47 25 DarkBrown Hospitality DarkBrown Sometimes Average No Aries No It'sComplicated Chile 
322 68.25 46.41 70.98 84.63 28 Other Administration DarkBrown No Slim No Leo No Married Indonesia 
323 65.52 13.65 54.6 139.23 22 DarkBlonde Student Green No Slim No Libra No Single Brazil 
324 5.46 2.73 43.68 221.13 28 Blonde Administration Blue No Toned No Cancer No Single Brazil 
325 2.73 8.19 51.87 210.21 20 Blonde Student Hazel No Toned No Capricorn No Single Ukraine 
326 16.38 8.19 40.95 210.21 20 EverChanging PerformingArts Blue No Toned Yes Virgo No Single UnitedKingdom 
327 19.11 21.84 92.82 139.23 43 DarkBrown Administration Green No Slim Yes Capricorn Yes Married Australia 
328 43.68 35.49 79.17 114.66 19 DarkBrown Medicine Brown No Toned Yes Pisces No Single Hungary 
329 21.84 35.49 90.09 122.85 36 * * * * * No Virgo No * Mexico 
330 54.6 65.52 60.06 90.09 45 Brown Management Brown No Average Yes Virgo Yes It'sComplicated FrenchGuiana 
331 70.98 81.9 51.87 68.25 21 DarkBrown Student DarkBrown No Slim No Cancer No Single Colombia 
332 8.19 13.65 49.14 202.02 29 DarkBrown Marketing DarkBrown No Toned Yes Virgo No Single Indonesia 
333 27.3 38.22 98.28 109.2 38 Blonde Marketing Blue Sometimes Average Yes Sagittarius No Single Spain 
334 10.92 16.38 95.55 150.15 30 Blonde Fashion Blue No Slim No Gemini No Single France 
335 19.11 2.73 54.6 196.56 19 Blonde Computers Blue No Slim No Libra No Single Belgium 
336 32.76 21.84 76.44 141.96 28 * * * * * No Scorpio No * Israel 
337 46.41 38.22 57.33 131.04 28 Blonde Administration Green No Slim No Libra No Single SerbiaAndMontenegro 
338 27.3 5.46 35.49 204.75 20 Brown Management Green No Slim No Sagittarius No Single Russia 
339 65.52 76.44 60.06 68.25 18 Brown Student DarkBrown No Average No Aquarius No Single Russia 
340 16.38 19.11 46.41 191.1 20 DarkBrown Education DarkBrown No Average Yes Capricorn Yes Single Switzerland 
341 35.49 54.6 76.44 103.74 24 Black Education Brown No Athletic No Taurus No Single India 
342 51.87 76.44 60.06 81.9 35 Black Retail DarkBrown Sometimes Average Yes Sagittarius Yes Single Ukraine 
343 60.06 70.98 84.63 57.33 18 EverChanging Student Brown No Average Yes Pisces No Single Spain 
344 111.93 30.03 40.95 90.09 21 DarkBrown Student DarkBrown No Average Yes Aquarius No Single Spain 
345 21.84 27.3 70.98 152.88 18 Brown Student Brown No Average No Leo No Single Norway 
346 21.84 21.84 95.55 133.77 22 * * * * * No Aries No * Mexico 
347 79.17 68.25 70.98 51.87 49 Blonde Marketing Green Sometimes Athletic Yes Cancer Yes Single Brazil 
348 32.76 8.19 70.98 163.8 20 Black Engineering LightBrown No Slim No Aries No Single Brazil 
349 27.3 27.3 57.33 158.34 29 Brown Fashion Brown Sometimes Slim Yes Taurus Yes Single Brazil 
350 16.38 13.65 70.98 169.26 22 Red Student LightBrown Sometimes Slim No Leo Yes Single Germany 
351 114.66 65.52 5.46 87.36 26 Black Administration DarkBrown No Slim Yes Leo Yes Single Brazil 
352 16.38 24.57 51.87 177.45 18 DarkBrown Law DarkBrown No Slim No Virgo No InArelationship Brazil 
353 5.46 5.46 43.68 218.4 22 DarkBrown Student Hazel No Slim No Cancer No Single Peru 
354 152.88 54.6 51.87 13.65 28 Brown Financial Brown No Average No Taurus No Single Romania 
355 79.17 43.68 76.44 76.44 23 Black Student DarkBrown No Average No Libra No Single Israel 
356 73.71 73.71 49.14 73.71 33 DarkBrown Marketing Blue No Toned Yes Aries Yes Single Japan 
357 13.65 8.19 51.87 199.29 25 Blonde Fashion Green No Slim Yes Taurus No InArelationship Canada 
358 19.11 16.38 73.71 163.8 31 Blonde Design Green No Average No Aries No Single Slovakia 
359 30.03 40.95 120.12 81.9 31 DarkBrown Student Brown No Average No Leo No Single Spain 
360 13.65 8.19 65.52 185.64 29 Brown Law Hazel No Average No Virgo Yes Single Spain 
361      Black Hospitality Other No Average Yes Gemini No Single Norway 
362 136.5 65.52 32.76 40.95 30 Black Artist DarkBrown No Average No Aquarius No Single  
363 141.96 49.14 27.3 54.6 18 Brown Artist LightBrown Sometimes Average No Scorpio No Single Indonesia 
364 13.65 10.92 60.06 188.37 23 DarkBrown Management Blue No Average Yes Sagittarius Yes Single Argentina 
365 60.06 60.06 81.9 70.98 36 Blonde Administration Blue No Average Yes Pisces Yes Single Germany 
366 92.82 62.79 51.87 65.52 24 DarkBlonde Financial Green No Slim No Aries No It'sComplicated Colombia 
367 158.34 60.06 27.3 27.3 27 Brown Engineering LightBrown Sometimes Average No Taurus No Single Botswana 
368 92.82 57.33 65.52 60.06 21 Blonde Student LightBrown No Average Yes Taurus No Single Chile 
369 8.19 10.92 49.14 204.75 26 Black Hospitality DarkBrown No Slim Yes Sagittarius No Single Israel 
370 128.31 51.87 35.49 57.33 20 Black Fashion LightBrown No Slim Yes Virgo Yes Single Brazil 
371 30.03 2.73 68.25 171.99 30 Brown Medicine Brown No Slim Yes Aries No Single Brazil 
372 204.75 24.57 16.38 24.57 26 EverChanging Hospitality Other Yes Average No Scorpio No Divorced Brazil 
373 38.22 38.22 103.74 95.55 20 Brown Student Brown No Average No Virgo No Single Taiwan 
